flash,ram,text,code,rodata,data,bss,dec,hex,filename
105022,18723,105012,91564,13448,10,18713,123735,`1e357,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libbluetooth_host_ble_ap.a
20,4,20,20,0,0,4,24,`18,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libaudio_osi.a
32,4,32,32,0,0,4,36,`24,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libvideo_osi.a
19426,0,19426,17872,1554,0,0,19426,`4be2,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/toolchain/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libm.a
132,0,132,132,0,0,0,132,`84,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/toolchain/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libnosys.a
19786,4,19786,16738,3048,0,4,19790,`4d4e,armino/littlefs/liblittlefs.a
19612,167,19612,18106,1506,0,167,19779,`4d43,armino/fatfs/libfatfs.a
15180,4,15180,11926,3254,0,4,15184,`3b50,armino/audio_pipeline/libaudio_pipeline.a
576,0,576,418,158,0,0,576,`240,armino/g711_decoder/libg711_decoder.a
568,0,568,410,158,0,0,568,`238,armino/g711_encoder/libg711_encoder.a
385,0,385,266,119,0,0,385,`181,armino/raw_stream/libraw_stream.a
5136,0,5136,3136,2000,0,0,5136,`1410,armino/uac_mic_stream/libuac_mic_stream.a
5635,0,5635,3532,2103,0,0,5635,`1603,armino/uac_speaker_stream/libuac_speaker_stream.a
18373,0,18373,17372,1001,0,0,18373,`47c5,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libtjpg_sram.a
1000,0,1000,1000,0,0,0,1000,`3e8,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libscale_sram.a
244,32,212,212,0,32,0,244,`f4,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libg711.a
