flash,ram,text,code,rodata,data,bss,dec,hex,filename
2500,4,2500,1464,1036,0,4,2504,`9c8,armino/cmsis/libcmsis.a
3890,56,3854,3576,278,36,20,3910,`f46,armino/iperf/libiperf.a
83581,5268,83093,75348,7745,488,4780,88361,`15929,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
5787,3202,5779,4470,1309,8,3194,8981,`2315,armino/bk_wifi_driver/libbk_wifi_driver.a
12558,100,12558,7846,4712,0,100,12658,`3172,armino/bk_wifi/libbk_wifi.a
657165,25918,652406,477528,174878,4759,21159,678324,`a59b4,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/libs/libtuyaos.a
3676,0,3676,3676,0,0,0,3676,`e5c,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/toolchain/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.main+fp/hard/libgcc.a
41151,1441,39713,38168,1545,1438,3,41154,`a0c2,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/toolchain/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
4540,364,4540,3312,1228,0,364,4904,`1328,armino/cm33/libcm33.a
100624,7128,99868,82814,17054,756,6372,106996,`1a1f4,armino/driver/libdriver.a
1308,76,1307,1226,81,1,75,1383,`567,armino/bk_system/libbk_system.a
473,4,473,336,137,0,4,477,`1dd,armino/bk_init/libbk_init.a
19580,9770,19187,15652,3535,393,9377,28957,`711d,armino/bk_cli/libbk_cli.a
45424,3588,44375,31674,12701,1049,2539,47963,`bb5b,armino/tuyaos_adapter/libtuyaos_adapter.a
4337,114,4228,3950,278,109,5,4342,`10f6,armino/bk7258_ap/libbk7258_ap.a
18231,232,18167,16130,2037,64,168,18399,`47df,armino/common/libcommon.a
251,32,251,246,5,0,32,283,`11b,armino/bk_startup/libbk_startup.a
2544,17,2544,2022,522,0,17,2561,`a01,armino/bk_event/libbk_event.a
3585,73,3584,3080,504,1,72,3657,`e49,armino/bk_aud_param_ctrl/libbk_aud_param_ctrl.a
4333,20,4333,3290,1043,0,20,4353,`1101,armino/aec_v3_algorithm/libaec_v3_algorithm.a
4098,8,4098,2948,1150,0,8,4106,`100a,armino/onboard_speaker_stream/libonboard_speaker_stream.a
3148,4,3148,1978,1170,0,4,3152,`c50,armino/onboard_mic_stream/libonboard_mic_stream.a
3552,12,3552,2512,1040,0,12,3564,`dec,armino/onboard_dual_dmic_mic_stream/libonboard_dual_dmic_mic_stream.a
1602,795,840,840,0,762,33,1635,`663,armino/bk_pm/libbk_pm.a
14662,12,14662,8606,6056,0,12,14674,`3952,armino/bk_voice_service/libbk_voice_service.a
213,0,213,108,105,0,0,213,`d5,armino/ap/libap.a
103992,0,103992,37620,66372,0,0,103992,`19638,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.14.0/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libaec_v3.a
6570,13,6570,5284,1286,0,13,6583,`19b7,armino/bk_rtos/libbk_rtos.a
1404,160,1268,942,326,136,24,1428,`594,armino/media_service/libmedia_service.a
21478,1045,21473,19480,1993,5,1040,22518,`57f6,armino/os_source/libos_source.a
4940,49,4916,3544,1372,24,25,4965,`1365,armino/display_service/libdisplay_service.a
4655,648,4655,2362,2293,0,648,5303,`14b7,armino/coredump/libcoredump.a
14907,533,14902,9712,5190,5,528,15435,`3c4b,armino/bk_modem/libbk_modem.a
27183,5578,27174,22550,4624,9,5569,32752,`7ff0,armino/bk_usb/libbk_usb.a
284,0,284,28,256,0,0,284,`11c,armino/avdk_utils/libavdk_utils.a
66192,26783,39999,28934,11065,26193,590,66782,`104de,armino/multimedia/libmultimedia.a
4982,433,4586,3418,1168,396,37,5019,`139b,armino/bk_bluetooth/libbk_bluetooth.a
729,65,729,660,69,0,65,794,`31a,armino/bk_netif/libbk_netif.a
4,0,4,4,0,0,0,4,`4,armino/http/libhttp.a
4,0,4,4,0,0,0,4,`4,armino/bk_common/libbk_common.a
7489,1088,7169,5826,1343,320,768,8257,`2041,armino/bk_vfs/libbk_vfs.a
2799,32,2799,2262,537,0,32,2831,`b0f,armino/media_utils/libmedia_utils.a
23449,75,23380,14770,8610,69,6,23455,`5b9f,armino/bk_peripheral/libbk_peripheral.a
6592,14,6592,5392,1200,0,14,6606,`19ce,armino/bk_dvp/libbk_dvp.a
10712,66,10712,7834,2878,0,66,10778,`2a1a,armino/bk_uvc/libbk_uvc.a
